Fecha,Franja más cara,Franja más barata,00h - 01h:,01h - 02h:,02h - 03h:,03h - 04h:,04h - 05h:,05h - 06h:,06h - 07h:,07h - 08h:,08h - 09h:,09h - 10h:,10h - 11h:,11h - 12h:,12h - 13h:,13h - 14h:,14h - 15h:,15h - 16h:,16h - 17h:,17h - 18h:,18h - 19h:,19h - 20h:,20h - 21h:,21h - 22h:,22h - 23h:,23h - 24h:
20 de 02 de 2021,21h - 22h,16h - 17h,0.05892,0.05901,0.05751,0.05762,0.05771,0.05778,0.06085,0.06077,0.06191,0.05858,0.05924,0.05789,0.05749,0.05748,0.05763,0.05815,0.05543,0.05669,0.06055,0.06161,0.06425,0.06717,0.06472,0.06237
21 de 02 de 2021,20h - 21h,09h - 10h,0.06295,0.0621,0.06207,0.06228,0.06242,0.06296,0.06711,0.06654,0.06222,0.06047,0.06423,0.06707,0.06378,0.06751,0.06606,0.06319,0.06358,0.06378,0.0649,0.07457,0.08594,0.08476,0.07138,0.06874
22 de 02 de 2021,19h - 20h,02h - 03h,0.09535,0.084,0.08295,0.08368,0.08577,0.09159,0.09711,0.10466,0.11592,0.11753,0.09962,0.09482,0.09438,0.09448,0.09141,0.09124,0.09468,0.10595,0.12875,0.1296,0.125,0.12259,0.11393,0.10904
23 de 02 de 2021,07h - 08h,16h - 17h,0.10742,0.10633,0.1055,0.10412,0.10386,0.10507,0.10904,0.12359,0.12221,0.11785,0.11073,0.10177,0.09908,0.09824,0.09861,0.09327,0.09281,0.10014,0.1117,0.12043,0.11339,0.10569,0.10235,0.09731
24 de 02 de 2021,19h - 20h,15h - 16h,0.0824,0.07916,0.07867,0.07398,0.06998,0.07813,0.08015,0.09441,0.10711,0.09588,0.09008,0.08192,0.07546,0.06684,0.05911,0.05714,0.05746,0.07228,0.09434,0.11511,0.11386,0.10622,0.10697,0.09914
25 de 02 de 2021,19h - 20h,03h - 04h,0.10002,0.10031,0.09868,0.09835,0.10225,0.10693,0.11045,0.12184,0.11745,0.11157,0.10318,0.10187,0.10116,0.10045,0.10276,0.10735,0.1127,0.11742,0.12349,0.13084,0.12037,0.11728,0.11194,0.10628
26 de 02 de 2021,19h - 20h,14h - 15h,0.11194,0.10884,0.1014,0.10038,0.10015,0.10665,0.11757,0.12082,0.12061,0.11743,0.11131,0.10573,0.10395,0.09969,0.0986,0.10015,0.10353,0.11359,0.12158,0.12172,0.11896,0.11231,0.11119,0.10665
27 de 02 de 2021,20h - 21h,17h - 18h,0.10667,0.09881,0.09007,0.08879,0.08869,0.08838,0.0881,0.08973,0.08775,0.08719,0.08835,0.08938,0.08906,0.09028,0.09006,0.08661,0.08651,0.0838,0.08903,0.09948,0.10793,0.10138,0.09095,0.08754
28 de 02 de 2021,20h - 21h,16h - 17h,0.07584,0.07607,0.07522,0.0743,0.0745,0.07566,0.07603,0.076,0.07505,0.07314,0.07345,0.07264,0.07254,0.07416,0.07429,0.07235,0.07162,0.07296,0.07727,0.09522,0.10332,0.10158,0.09397,0.08854
01 de 03 de 2021,19h - 20h,03h - 04h,0.10106,0.09826,0.09193,0.09099,0.0926,0.09354,0.10062,0.1139,0.11408,0.11676,0.11227,0.10459,0.10555,0.10118,0.10111,0.10015,0.10025,0.10238,0.11253,0.13125,0.12139,0.1146,0.11346,0.10981
02 de 03 de 2021,19h - 20h,14h - 15h,0.11115,0.11133,0.11065,0.10927,0.1103,0.11619,0.12374,0.12787,0.12653,0.12262,0.11561,0.1103,0.1092,0.10816,0.10757,0.10795,0.11542,0.11982,0.12123,0.14678,0.12868,0.12543,0.12358,0.12084
03 de 03 de 2021,19h - 20h,14h - 15h,0.11852,0.1118,0.1109,0.11146,0.1124,0.11849,0.12807,0.13498,0.13319,0.12096,0.11567,0.11267,0.10996,0.10717,0.10445,0.1055,0.1079,0.11876,0.12483,0.13574,0.12628,0.12332,0.11859,0.11855
